feature,importance,rank,selected
SlogP_VSA1,0.001543455,58,False
Xc-4dv,0.0015394337,209,False
GATS2m,0.0015363985,258,False
SMR_VSA5,0.0015301503,130,False
SddsN,0.0015245758,544,False
TSRW10,0.0015226741,185,False
GATS1are,0.0015190523,119,False
AATSC0m,0.0015130502,146,False
ATSC7are,0.001504701,346,False
ATS3p,0.0015041044,80,False
ATSC5s,0.0014945356,62,False
AXp-1dv,0.0014911479,263,False
TopoPSA(NO),0.0014808165,76,False
n11FRing,0.0014777452,495,False
ATS5m,0.0014745495,272,False
nBondsS,0.0014728025,189,False
ATS0s,0.0014710947,268,False
ATSC6p,0.0014673509,324,False
Mm,0.0014662838,368,False
AATS1m,0.0014645575,1,True
SssO,0.0014629499,374,False
ATSC4p,0.0014598599,2,False
AATSC1se,0.0014591406,7,False
ATSC3pe,0.0014539945,221,False
ATSC2pe,0.0014350123,185,False
naHRing,0.0014333312,366,False
ATS4i,0.001407156,29,False
ATS5se,0.0014070928,193,False
PEOE_VSA13,0.0014042159,299,False
Xp-2dv,0.0013992684,26,False
ATSC5p,0.0013966889,309,False
BIC0,0.0013871936,1,True
NdS,0.0013835415,719,False
ATSC8i,0.0013692931,149,False
AATSC2are,0.0013576682,405,False
AATS1pe,0.0013573495,134,False
Xpc-6dv,0.0013517713,282,False
ATSC0v,0.0013516591,266,False
Xc-5dv,0.0013428358,231,False
Si,0.0013323323,362,False
ATSC7pe,0.0013202431,407,False
ATS1v,0.0013140638,470,False
Xp-1dv,0.0013054849,342,False
PEOE_VSA11,0.0012898728,573,False
AATSC2s,0.0012896181,305,False
MPC4,0.0012825073,532,False
JGI5,0.0012810285,276,False
GATS1d,0.0012777181,1,True
SIC1,0.0012706167,278,False
PEOE_VSA12,0.0012656077,292,False
SMR_VSA9,0.001261546,398,False
ATSC7se,0.0012586282,332,False
Xc-4d,0.0012549045,105,False
ATS0dv,0.0012527006,221,False
ATSC8m,0.0012500642,370,False
SlogP_VSA6,0.0012405914,213,False
AXp-0dv,0.0012362445,376,False
Xpc-4dv,0.0012350674,135,False
VSA_EState6,0.0012315455,1,True
SlogP_VSA11,0.0012290233,557,False
ATSC7i,0.0012256637,217,False
AATSC2se,0.0012051794,380,False
SdsCH,0.0011976125,297,False
GATS2are,0.001196516,270,False
AXp-2dv,0.0011850989,196,False
ATS6m,0.0011678532,242,False
ATSC6Z,0.0011658581,505,False
SIC0,0.0011656552,3,False
ATSC2se,0.0011616976,103,False
ATS2s,0.0011590637,174,False
Xp-6dv,0.0011584986,312,False
ATSC2i,0.0011582677,196,False
ATSC3v,0.0011557946,201,False
NdsCH,0.0011483707,548,False
AATS1v,0.0011447071,381,False
ATSC5dv,0.0011412007,255,False
ATS8i,0.0011376183,85,False
Xp-3dv,0.0011373834,274,False
fMF,0.0011368046,249,False
IC3,0.0011272467,370,False
C3SP2,0.0011260351,152,False
AATSC0v,0.0011228941,261,False
ATS8d,0.0011219431,336,False
EState_VSA2,0.0011207913,463,False
GGI1,0.0011118702,392,False
JGT10,0.0011080414,329,False
ATS8m,0.0011077112,383,False
ATSC4dv,0.0011072624,308,False
SaaN,0.0011007024,418,False
TMPC10,0.0010958253,486,False
ATSC0d,0.0010914207,507,False
AATSC0d,0.0010898918,494,False
ATSC7s,0.0010820533,315,False
nS,0.0010806912,507,False
ATSC4se,0.0010650757,137,False
GGI2,0.0010598412,462,False
Xch-7d,0.00105079,138,False
MATS1i,0.0010492031,317,False
EState_VSA9,0.0010453273,351,False
nP,0.0010308487,490,False
ATSC3are,0.0010305219,182,False
SlogP_VSA2,0.001027313,85,False
GATS1pe,0.001023391,1,True
n5aRing,0.0010229431,407,False
ATSC6pe,0.0010223642,357,False
ATS1are,0.001020406,460,False
ATSC5m,0.0010194803,56,False
JGI4,0.0010194473,458,False
NaaNH,0.0010180888,545,False
StsC,0.0010164824,449,False
Xpc-6d,0.001013956,429,False
ATSC6i,0.0010082292,110,False
ATS0v,0.0010076074,525,False
ATSC4are,0.0010065831,132,False
SMR_VSA6,0.0010056805,22,False
ATSC2d,0.0010041049,17,False
PEOE_VSA10,0.0010033898,142,False
EState_VSA7,0.0010013568,252,False
AATS1p,0.0009956375,66,False
ATSC7p,0.0009911197,234,False
MATS2p,0.000981579,236,False
SddssS,0.0009801519,534,False
ATS8s,0.0009729756,1,True
VSA_EState9,0.00096546346,187,False
GATS2p,0.0009636137,2,False
BIC5,0.00096290436,155,False
GGI6,0.0009589142,297,False
Xp-0dv,0.0009546954,404,False
ATS4d,0.0009407318,411,False
ATSC5are,0.0009406478,356,False
ATS4pe,0.0009383538,434,False
C1SP2,0.0009362576,441,False
SssCH2,0.0009306925,228,False
MATS2pe,0.00092654827,286,False
ATSC5v,0.0009175172,26,False
n5HRing,0.0009174608,425,False
ATSC6s,0.00091441924,140,False
nBridgehead,0.00091429683,719,False
piPC8,0.00090953,423,False
ATSC7dv,0.0009058526,123,False
EState_VSA6,0.0009025875,313,False
ATSC7d,0.00089148624,201,False
ATS3d,0.00088057155,409,False
SsssCH,0.0008780408,166,False
GATS2Z,0.00087773486,302,False
JGI10,0.0008764957,385,False
ATSC8Z,0.00087468914,329,False
Xp-3d,0.0008658202,537,False
JGI1,0.0008647689,255,False
JGI6,0.00086248777,275,False
CIC0,0.00085718854,45,False
SIC5,0.00085610687,310,False
ATS0i,0.00085495634,295,False
Xp-5dv,0.00085345126,214,False
Sse,0.000848614,476,False
AATS2m,0.00083011115,219,False
Xp-7dv,0.0008152032,33,False
Xc-6d,0.00080614607,395,False
ATSC2p,0.00079814927,73,False
nX,0.0007928759,579,False
ATSC5Z,0.00078481936,82,False
MPC8,0.00077465636,483,False
ATSC8p,0.00076503516,298,False
n10FRing,0.0007634004,719,False
ATSC6dv,0.00075628853,358,False
ATSC0are,0.0007337069,136,False
ATS5s,0.0007289696,51,False
ATS4are,0.0007214368,494,False
MATS1s,0.00070724904,127,False
CIC5,0.0006989589,389,False
mZagreb1,0.0006803638,38,False
GATS2dv,0.00067857036,294,False
FCSP3,0.0006717415,379,False
VMcGowan,0.0006642169,304,False
nAromAtom,0.00064727117,65,False
PEOE_VSA3,0.0006393806,446,False
ATSC8v,0.0006362898,338,False
MWC09,0.00061693933,565,False
AATS0dv,0.0006134317,377,False
ATS4v,0.0006127827,367,False
ATS4se,0.0006108009,173,False
AATSC1v,0.00059365697,374,False
Xp-6d,0.00056910753,478,False
ATS3i,0.0005598952,11,False
